LINCS_primary_compound_name,LINCS_other_compound_name,LINCS_small_molecule_id,HMS_small_molecule_id,KINOMEscan_dataset_url
5z-7-oxozeaenol,,LSM-6712,HMSL10356,http://lincs.hms.harvard.edu/db/datasets/20211/
A443654,,LSM-1045,HMSL10045,http://lincs.hms.harvard.edu/db/datasets/20059/
